,Average_fs,Average_ins,TestSet,Average_Totalcount,FinetuneSet_n10,FinetuneSet_n30,FinetuneSet_n50,FinetuneSet_n100,FinetuneSet_n300,FinetuneSet_n500,FinetuneSet_n1000
Oligo161,0.42605216763913634,0.02310025542974472,False,22.0,False,False,False,False,False,False,False
Oligo162,0.8659301400184631,0.7010099291801453,False,110.36363636363636,False,False,False,False,False,False,False
Oligo163,0.7805847585201263,0.10704544577747584,False,133.27272727272728,False,False,False,False,False,False,False
Oligo164,0.7440915703773499,0.07263764338567853,False,188.0,False,False,False,False,False,False,False
Oligo169,0.7778997361660004,0.5210961043834687,False,871.8181818181819,False,False,False,False,False,False,False
Oligo171,0.7628707587718964,0.3612210012972355,False,517.0,False,False,False,False,False,False,False
Oligo173,0.6570431500673294,0.07869387678802013,False,46.81818181818182,False,False,False,False,False,False,False
Oligo175,0.761332529783249,0.19002191051840783,False,313.8181818181818,False,False,False,False,False,False,False
Oligo176,0.0,0.0,False,0.0,False,False,False,False,False,False,False
Oligo177,0.8156075119972229,0.14213944151997565,False,91.1818181818182,False,False,False,False,False,False,False
Oligo178,0.9250938534736634,0.21690023317933083,True,8239.363636363636,False,False,False,False,False,False,False
Oligo179,0.6085635483264923,0.011505376547574997,False,92.27272727272728,False,False,False,False,False,False,False
Oligo181,0.9463966369628907,0.8442826867103577,False,331.6363636363636,False,False,False,False,False,False,False
Oligo183,0.9276542723178863,0.4146554693579674,False,896.4545454545455,False,False,False,False,False,False,False
Oligo184,0.8038403570652009,0.0,False,60.27272727272727,False,False,False,False,False,False,False
Oligo185,0.923100084066391,0.4758043885231018,False,682.0909090909091,False,False,False,False,False,False,False
Oligo186,0.7075833559036255,0.10954787004739046,False,1017.7272727272727,False,False,False,False,False,False,False
Oligo187,0.7090681076049805,0.1392879828810692,False,108.54545454545456,False,False,False,False,False,False,False
Oligo188,0.4762626335024834,0.0,False,11.181818181818182,False,False,False,False,False,False,False
Oligo190,0.8196438550949097,0.3666410356760025,False,723.5454545454545,False,False,False,False,False,False,False
Oligo192,0.8067963540554046,0.25984349101781845,False,140.72727272727272,False,False,False,False,False,False,False
Oligo193,0.8088103950023651,0.16361660212278367,False,951.2727272727273,False,False,False,False,False,False,False
Oligo196,0.722493690252304,0.05466719027608633,False,474.54545454545456,False,False,False,False,False,False,False
Oligo199,0.842480581998825,0.3529267191886902,False,705.0,False,False,False,False,False,False,False
Oligo200,0.8736076533794404,0.2903224304318428,False,476.0,False,False,False,False,False,False,False
Oligo203,0.6709785521030426,0.0,False,16.545454545454547,False,False,False,False,False,False,False
Oligo206,0.6654114365577698,0.08768832385540008,False,533.0,False,False,False,False,False,False,False
Oligo207,0.6896473094820976,0.14115599859505892,False,57.63636363636363,False,False,False,False,False,False,False
Oligo209,0.6070614963769912,0.0,False,58.27272727272727,False,False,False,False,False,False,False
Oligo212,0.8314010024070739,0.5196420416235924,False,357.27272727272725,False,False,False,False,False,False,False
Oligo213,0.8458510935306549,0.3092787191271782,False,1409.3636363636365,False,False,False,False,False,False,False
Oligo214,0.8463261783123016,0.2051862508058548,False,291.8181818181818,False,False,False,False,False,False,False
Oligo217,0.8084185004234314,0.41271003931760786,False,283.54545454545456,False,False,False,False,False,False,False
Oligo219,0.7783113613724708,0.11114119365811348,False,40.63636363636363,False,False,False,False,False,False,False
Oligo220,0.7034757554531097,0.048697962705045936,False,504.3636363636364,False,False,False,False,False,False,False
Oligo221,0.8883634209632874,0.2796292431652546,False,475.09090909090907,False,False,False,False,False,False,False
Oligo225,0.7946348965168,0.33082018196582796,False,1864.636363636364,False,False,False,False,False,False,True
Oligo226,0.8774304509162902,0.6654904961585999,False,132.8181818181818,False,False,False,False,False,False,False
Oligo227,0.8572255432605743,0.06826933370903135,False,596.8181818181819,False,False,False,False,False,False,False
Oligo228,0.8423071801662445,0.4078181222081184,False,469.54545454545456,False,False,False,False,False,False,False
Oligo229,0.8300264179706573,0.23685842454433442,False,83.63636363636364,False,False,False,False,False,False,False
Oligo230,0.8246712207794189,0.09273103792220354,False,1856.909090909091,False,False,False,False,False,False,True
Oligo232,0.8816113352775574,0.09243511520326138,False,40.81818181818182,False,False,False,False,False,False,False
Oligo234,0.6118246778845787,0.013824832811951637,False,112.72727272727272,False,False,False,False,False,False,False
Oligo237,0.7681992053985596,0.09261374697089195,False,664.1818181818181,False,False,False,False,False,False,False
Oligo239,0.7049345254898072,0.03483342295512557,False,286.6363636363636,False,False,False,False,False,False,False
Oligo244,0.6726441442966461,0.048635101318359374,False,1786.4545454545455,False,False,False,False,False,False,False
Oligo246,0.767638897895813,0.11583333350718021,False,11.818181818181818,False,False,False,False,False,False,False
Oligo247,0.6732727110385894,0.16806967854499816,False,58.90909090909091,False,False,False,False,False,False,False
Oligo249,0.8743119418621064,0.271037195622921,False,994.2727272727273,False,False,False,False,False,False,False
Oligo250,0.8693767607212066,0.10707176215946675,False,1716.0,False,False,False,False,False,False,False
Oligo251,0.8899106085300446,0.3979407787322998,False,194.63636363636363,False,False,False,False,False,False,False
Oligo252,0.8611697494983673,0.10035935621708632,False,84.54545454545455,False,False,False,False,False,False,False
Oligo254,0.0,0.0,False,0.0,False,False,False,False,False,False,False
Oligo255,0.9601656258106231,0.004444444552063942,False,55.09090909090909,False,False,False,False,False,False,False
Oligo256,0.4952323496341705,0.026840753806754946,False,100.1818181818182,False,False,False,False,False,False,False
Oligo257,0.8577736675739288,0.02287373337894678,False,207.8181818181818,False,False,False,False,False,False,False
Oligo258,0.7381132990121841,0.0,False,34.81818181818182,False,False,False,False,False,False,False
Oligo260,0.6426510732620955,0.03822118192911148,False,45.90909090909091,False,False,False,False,False,False,False
Oligo262,0.8480843722820282,0.30842809826135636,False,278.90909090909093,False,False,False,False,False,False,False
Oligo264,0.1,0.0,False,0.2727272727272727,False,False,False,False,False,False,False
Oligo266,0.6985139071941375,0.0,False,69.63636363636364,False,False,False,False,False,False,False
Oligo270,0.816464650630951,0.3419859379529953,False,250.27272727272728,False,False,False,False,False,False,False
Oligo271,0.8539171636104583,0.09686413370072841,False,676.4545454545455,False,False,False,False,False,False,False
Oligo273,0.7053511172533036,0.08730808831751347,False,41.63636363636363,False,False,False,False,False,False,False
Oligo274,0.23537584468722345,0.0,False,164.1818181818182,False,False,False,False,False,False,False
Oligo277,0.6914149671792984,0.24412079229950906,False,42.63636363636363,False,False,False,False,False,False,False
Oligo278,0.8530084013938903,0.3225927218794823,False,1070.8181818181818,False,False,False,False,False,False,False
Oligo281,0.6613798886537552,0.09131342507898807,False,87.72727272727273,False,False,False,False,False,False,False
Oligo283,0.0,0.0,False,0.0,False,False,False,False,False,False,False
Oligo284,0.6166394263505935,0.0,False,58.81818181818182,False,False,False,False,False,False,False
Oligo291,0.62722906768322,0.30575649440288544,False,49.90909090909091,False,False,False,False,False,False,False
Oligo292,0.7494565725326539,0.4592947393655777,False,228.9090909090909,False,False,False,False,False,False,False
Oligo293,0.5749469578266144,0.11174599938094616,False,90.1818181818182,False,False,False,False,False,False,False
Oligo294,0.8469435632228851,0.36909952759742737,False,25.727272727272727,False,False,False,False,False,False,False
Oligo296,0.5595966696739196,0.0,False,65.18181818181819,False,False,False,False,False,False,False
Oligo297,0.6491513833403587,0.15605680719017984,False,154.1818181818182,False,False,False,False,False,False,False
Oligo299,0.6459318995475769,0.11134718582034112,False,1224.7272727272727,False,False,False,False,False,False,False
Oligo300,0.5815593704581261,0.040317460987716915,False,33.81818181818182,False,False,False,False,False,False,False
Oligo301,0.6697062373161315,0.24005506187677383,False,484.8181818181818,False,False,False,False,False,False,False
Oligo302,0.7690798997879028,0.12418278753757477,False,1024.1818181818182,False,False,False,False,False,False,False
Oligo304,0.6799525946378708,0.0,False,36.90909090909091,False,False,False,False,False,False,False
Oligo306,0.6424409106373787,0.0,False,8.363636363636363,False,False,False,False,False,False,False
Oligo307,0.5435237012803554,0.0,False,50.36363636363637,False,False,False,False,False,False,False
Oligo308,0.7679080426692962,0.15892339088022708,False,53.72727272727273,False,False,False,False,False,False,False
Oligo309,0.6692662060260772,0.15843724682927132,False,255.3636363636364,False,False,False,False,False,False,False
Oligo310,0.7421780943870544,0.21764319837093354,False,757.4545454545455,False,False,False,False,False,False,False
Oligo311,0.8407257676124573,0.20718395188450814,False,887.6363636363636,False,False,False,False,False,False,False
Oligo314,0.7951421141624451,0.1357130456715822,False,199.27272727272728,False,False,False,False,False,False,False
Oligo315,0.8192464351654053,0.26756485253572465,False,50.90909090909091,False,False,False,False,False,False,False
Oligo317,0.8665703892707824,0.5014814674854279,False,269.54545454545456,False,False,False,False,False,False,False
Oligo318,0.8495694994926453,0.17762944996356964,False,666.0909090909091,False,False,False,False,False,False,False
Oligo319,0.8109693646430969,0.17027774304151536,False,178.0,False,False,False,False,False,False,False
Oligo324,0.8643246173858643,0.12084832340478897,False,77.36363636363636,False,False,False,False,False,False,False
Oligo326,0.7799315392971039,0.3677477777004242,False,1811.909090909091,False,False,False,False,False,False,True
Oligo327,0.7553560614585877,0.37415778934955596,False,553.4545454545455,False,False,False,False,False,False,False
Oligo329,0.687490077316761,0.0,False,29.181818181818183,False,False,False,False,False,False,False
Oligo330,0.39907766580581666,0.0,False,10.636363636363637,False,False,False,False,False,False,False
Oligo331,0.7642522573471069,0.0,False,126.0,False,False,False,False,False,False,False
Oligo332,0.8728482842445373,0.44663713276386263,False,450.8181818181818,False,False,False,False,False,False,False
Oligo333,0.6657087147235871,0.42364608198404313,False,133.0909090909091,False,False,False,False,False,False,False
Oligo334,0.7836783409118653,0.5969175428152085,False,96.45454545454544,False,False,False,False,False,False,False
Oligo335,0.0,0.0,False,1.9090909090909087,False,False,False,False,False,False,False
Oligo338,0.6135435998439789,0.3455204084515572,False,897.5454545454545,False,False,False,False,False,False,False
Oligo339,0.8048366189002991,0.2415667474269867,True,2451.6363636363635,False,False,False,False,False,False,False
Oligo340,0.8919059991836548,0.1944368340075016,False,815.9090909090909,False,False,False,False,False,False,False
Oligo341,0.523833991587162,0.0,False,11.727272727272728,False,False,False,False,False,False,False
Oligo342,0.9106185793876648,0.3373303204774857,False,101.0909090909091,False,False,False,False,False,False,False
Oligo345,0.8258676707744599,0.3499171733856201,False,164.8181818181818,False,False,False,False,False,False,False
Oligo346,0.8361440479755402,0.6492254078388214,False,851.1818181818181,False,False,False,False,False,False,False
Oligo348,0.48854167610406873,0.0,False,7.818181818181818,False,False,False,False,False,False,False
Oligo349,0.8312351524829864,0.33732995241880415,False,73.0909090909091,False,False,False,False,False,False,False
Oligo352,0.6143943995237351,0.11529637798666954,False,1224.4545454545455,False,False,False,False,False,False,False
Oligo355,0.8574590802192688,0.2346516638994217,False,312.6363636363636,False,False,False,False,False,False,False
Oligo356,0.8101489245891571,0.22049774825572968,False,1846.909090909091,False,False,False,False,False,False,True
Oligo357,0.8379345655441284,0.12732785046100617,False,366.0,False,False,False,False,False,False,False
Oligo359,0.1,0.0,False,0.0909090909090909,False,False,False,False,False,False,False
Oligo362,0.8758583188056945,0.5651872634887696,False,566.2727272727273,False,False,False,False,False,False,False
Oligo363,0.7499198317527771,0.0,False,38.72727272727273,False,False,False,False,False,False,False
Oligo366,0.5990168690681458,0.25460866242647173,False,237.45454545454547,False,False,False,False,False,False,False
Oligo367,0.9456798791885376,0.678218400478363,False,468.8181818181818,False,False,False,False,False,False,False
Oligo368,0.8791430473327637,0.23118842244148255,False,536.0,False,False,False,False,False,False,False
Oligo370,0.6908801406621933,0.07331154393032194,False,64.0,False,False,False,False,False,False,False
Oligo375,0.0,0.0,False,0.0,False,False,False,False,False,False,False
Oligo376,0.8302818596363067,0.2107424944639206,False,79.0909090909091,False,False,False,False,False,False,False
Oligo377,0.8364718735218049,0.322093003988266,False,1145.0,False,False,False,False,False,False,False
Oligo380,0.693976902961731,0.19883518442511558,False,743.3636363636364,False,False,False,False,False,False,False
Oligo382,0.7142575323581696,0.15962309390306473,False,1394.7272727272727,False,False,False,False,False,False,False
Oligo383,0.6202021032571793,0.07763202404603362,False,247.72727272727272,False,False,False,False,False,False,False
Oligo385,0.6191317319869996,0.13312812931835652,False,30.363636363636363,False,False,False,False,False,False,False
Oligo387,0.9311552286148072,0.2030479110777378,False,177.54545454545453,False,False,False,False,False,False,False
Oligo388,0.9056177794933319,0.5651979863643646,False,497.9090909090909,False,False,False,False,False,False,False
Oligo389,0.2,0.0,False,1.5454545454545454,False,False,False,False,False,False,False
Oligo391,0.8938434958457947,0.3414135366678238,False,506.0,False,False,False,False,False,False,False
Oligo393,0.7117171347141266,0.050984824821352956,False,809.9090909090909,False,False,False,False,False,False,False
Oligo394,0.8390478551387787,0.16152882501482962,False,1352.1818181818182,False,False,False,False,False,False,False
Oligo395,0.8308020949363708,0.5625101000070571,False,337.27272727272725,False,False,False,False,False,False,False
Oligo397,0.7801231577992439,0.0,False,9.727272727272728,False,False,False,False,False,False,False
Oligo398,0.8931537091732025,0.5320216685533523,False,281.72727272727275,False,False,False,False,False,False,False
Oligo402,0.6255019508302212,0.03498628586530685,False,33.36363636363637,False,False,False,False,False,False,False
Oligo405,0.749445128440857,0.2741034388542175,True,3543.454545454545,False,False,False,False,False,False,False
Oligo407,0.7416584968566895,0.15697992611676453,False,118.0909090909091,False,False,False,False,False,False,False
Oligo408,0.8830378293991089,0.4679422233253717,False,95.8181818181818,False,False,False,False,False,False,False
Oligo412,0.8167910099029541,0.40322755873203275,False,307.54545454545456,False,False,False,False,False,False,False
Oligo414,0.7952146232128143,0.10084618590772151,False,1396.0,False,False,False,False,False,False,False
Oligo415,0.5061077773571014,0.0,False,15.727272727272728,False,False,False,False,False,False,False
Oligo416,0.7151628404855728,0.04773688679561019,False,69.27272727272727,False,False,False,False,False,False,False
Oligo423,0.8669100046157837,0.46041859984397887,False,150.45454545454547,False,False,False,False,False,False,False
Oligo429,0.7871121048927308,0.12607574984431266,False,833.0909090909091,False,False,False,False,False,False,False
Oligo431,0.0,0.0,False,0.0,False,False,False,False,False,False,False
Oligo433,0.8648818463087082,0.33856717199087144,False,35.81818181818182,False,False,False,False,False,False,False
Oligo434,0.8723640024662018,0.38588830828666687,False,184.0909090909091,False,False,False,False,False,False,False
Oligo435,0.2,0.0,False,1.0,False,False,False,False,False,False,False
Oligo438,0.9248788714408874,0.7626716256141662,False,2221.909090909091,False,False,False,False,False,True,True
Oligo439,0.7336101472377777,0.33095536194741726,False,114.8181818181818,False,False,False,False,False,False,False
Oligo440,0.8828515827655792,0.4416833400726318,False,651.6363636363636,False,False,False,False,False,False,False
Oligo444,0.7500165224075317,0.1104117777198553,False,277.8181818181818,False,False,False,False,False,False,False
Oligo445,0.8685361742973328,0.057291864044964315,False,660.8181818181819,False,False,False,False,False,False,False
Oligo446,0.43015956282615664,0.08364321142435074,False,1635.0,False,False,False,False,False,False,False
Oligo449,0.6482223808765412,0.1794274017214775,False,1668.909090909091,False,False,False,False,False,False,False
Oligo452,0.9290513515472412,0.5427929699420929,True,3472.0,False,False,False,False,False,False,False
Oligo453,0.9204194068908691,0.34192654192447663,False,213.27272727272728,False,False,False,False,False,False,False
Oligo455,0.8897814273834228,0.4487468808889389,True,3699.090909090909,False,False,False,False,False,False,False
Oligo458,0.5573494553565979,0.0,False,49.54545454545455,False,False,False,False,False,False,False
Oligo461,0.579297536611557,0.14678708435967563,False,112.1818181818182,False,False,False,False,False,False,False
Oligo463,0.0,0.0,False,0.0,False,False,False,False,False,False,False
Oligo464,0.7870913624763489,0.03451379165053368,False,39.27272727272727,False,False,False,False,False,False,False
Oligo465,0.742235216498375,0.23350235782563686,False,41.45454545454545,False,False,False,False,False,False,False
Oligo466,0.5207389771938324,0.2924712684005499,False,231.0909090909091,False,False,False,False,False,False,False
Oligo470,0.7427923321723938,0.3533994123339653,False,146.0,False,False,False,False,False,False,False
Oligo472,0.9054215431213379,0.19290753081440926,False,709.4545454545455,False,False,False,False,False,False,False
Oligo473,0.8039117991924286,0.12138485331088304,False,96.54545454545456,False,False,False,False,False,False,False
Oligo475,0.8661773979663849,0.08186472579836845,False,1259.8181818181818,False,False,False,False,False,False,False
Oligo476,0.7793038189411163,0.07835724223405123,False,838.0,False,False,False,False,False,False,False
Oligo477,0.9127937912940979,0.41228431314229963,False,23.09090909090909,False,False,False,False,False,False,False
Oligo480,0.8536829948425293,0.3556331008672714,False,947.6363636363636,False,False,False,False,False,False,False
Oligo481,0.7677626982331276,0.2118650384247303,False,30.727272727272727,False,False,False,False,False,False,False
Oligo483,0.7607635021209717,0.25636947378516195,False,605.0,False,False,False,False,False,False,False
Oligo484,0.607195696234703,0.0,False,46.27272727272727,False,False,False,False,False,False,False
Oligo486,0.7948104918003083,0.23274999856948853,False,86.63636363636364,False,False,False,False,False,False,False
Oligo487,0.7391122162342072,0.347464057803154,False,484.45454545454544,False,False,False,False,False,False,False
Oligo488,0.8867718756198884,0.6277708142995835,False,1171.7272727272727,False,False,False,False,False,False,False
Oligo489,0.8965902864933014,0.718058705329895,False,695.9090909090909,False,False,False,False,False,False,False
Oligo492,0.6868807822465897,0.32642677426338196,False,157.45454545454547,False,False,False,False,False,False,False
Oligo495,0.7981183648109436,0.33978710100054743,False,288.54545454545456,False,False,False,False,False,False,False
Oligo499,0.7260833263397217,0.0,False,15.0,False,False,False,False,False,False,False
Oligo500,0.6818099856376648,0.13212405596859753,False,104.45454545454544,False,False,False,False,False,False,False
Oligo503,0.5972402960062027,0.05843908712267876,False,1317.7272727272727,False,False,False,False,False,False,False
Oligo505,0.3112912908196449,0.0,False,58.72727272727273,False,False,False,False,False,False,False
Oligo506,0.8328399181365966,0.4893079102039337,False,266.8181818181818,False,False,False,False,False,False,False
Oligo507,0.5568432211875916,0.035779210412874816,False,160.8181818181818,False,False,False,False,False,False,False
Oligo511,0.7945921063423157,0.15516868978738785,False,1796.6363636363635,False,False,False,False,False,False,False
Oligo512,0.8639988124370575,0.002801120514050126,False,121.36363636363636,False,False,False,False,False,False,False
Oligo514,0.8457229673862457,0.31039970368146896,False,208.0909090909091,False,False,False,False,False,False,False
Oligo516,0.29000000059604647,0.0,False,1.9090909090909087,False,False,False,False,False,False,False
Oligo518,0.6765547096729279,0.0998856758698821,False,212.54545454545453,False,False,False,False,False,False,False
Oligo519,0.864591246843338,0.3755888670682907,False,1976.636363636364,False,False,False,False,False,False,True
Oligo520,0.7123903572559357,0.13667171262204647,False,524.9090909090909,False,False,False,False,False,False,False
Oligo521,0.815101546049118,0.16672775000333787,False,509.1818181818182,False,False,False,False,False,False,False
Oligo525,0.566678723692894,0.11874844394624233,False,233.0,False,False,False,False,False,False,False
Oligo526,0.848626297712326,0.18599530942738057,False,86.27272727272727,False,False,False,False,False,False,False
Oligo527,0.639730054140091,0.08741012513637543,False,130.72727272727272,False,False,False,False,False,False,False
Oligo528,0.7588850319385528,0.6113102018833161,False,57.36363636363637,False,False,False,False,False,False,False
Oligo534,0.8247930347919464,0.6098213136196137,False,220.63636363636363,False,False,False,False,False,False,False
Oligo535,0.4850511237978935,0.13237468115985393,False,420.8181818181818,False,False,False,False,False,False,False
Oligo537,0.5453928291797638,0.2056538298726082,False,351.90909090909093,False,False,False,False,False,False,False
Oligo539,0.8886904895305634,0.26864793300628664,False,812.1818181818181,False,False,False,False,False,False,False
Oligo540,0.6280149281024933,0.23803727328777313,False,1417.0,False,False,False,False,False,False,False
Oligo541,0.7441881597042084,0.34843470752239225,False,1201.3636363636365,False,False,False,False,False,False,False
Oligo545,0.7333783090114594,0.3152109533548355,False,72.9090909090909,False,False,False,False,False,False,False
Oligo547,0.7524041891098022,0.11291185338050128,False,90.8181818181818,False,False,False,False,False,False,False
Oligo548,0.7053447306156159,0.019633520860224962,False,197.54545454545453,False,False,False,False,False,False,False
Oligo549,0.5329260736703872,0.01903901305049658,False,1006.3636363636364,False,False,False,False,False,False,False
Oligo550,0.6871104300022125,0.0,False,41.0,False,False,False,False,False,False,False
Oligo551,0.7624067544937134,0.24220097661018372,False,1865.909090909091,False,False,False,False,False,False,True
Oligo552,0.7577297776937485,0.0,False,19.727272727272727,False,False,False,False,False,False,False
Oligo553,0.0,0.0,False,0.0,False,False,False,False,False,False,False
Oligo555,0.8731045365333557,0.06898146495223045,False,185.0909090909091,False,False,False,False,False,False,False
